epoch,accuracy,loss,val_accuracy,val_loss
0,0.6696508526802063,0.8307159543037415,0.33016303181648254,2.6414129734039307
1,0.7636526226997375,0.6411109566688538,0.33559781312942505,1.3516043424606323
2,0.8155774474143982,0.5300792455673218,0.3396739065647125,3.53932523727417
3,0.8473590016365051,0.4246755838394165,0.33016303181648254,1.3809493780136108
4,0.8634735941886902,0.3654375970363617,0.47146740555763245,1.163402795791626
5,0.8737690448760986,0.34903737902641296,0.5489130616188049,1.9196666479110718
6,0.8854073286056519,0.34500426054000854,0.82472825050354,0.4730618894100189
7,0.9068934917449951,0.2900741398334503,0.75,0.6956773996353149
8,0.9203222990036011,0.2398207038640976,0.823369562625885,0.5703174471855164
9,0.9216651916503906,0.23984496295452118,0.8288043737411499,0.4915614724159241
10,0.9203222990036011,0.23023879528045654,0.78125,0.8131474852561951
11,0.9355416297912598,0.1912270188331604,0.864130437374115,0.4283672869205475
12,0.9494180679321289,0.16169804334640503,0.813858687877655,0.6042589545249939
13,0.9458370804786682,0.1656244695186615,0.710597813129425,1.3244524002075195
14,0.9395702481269836,0.1649666428565979,0.80027174949646,0.7977399230003357
15,0.9574753642082214,0.13929247856140137,0.7975543737411499,0.7320753335952759
16,0.9650850296020508,0.11442854255437851,0.8804348111152649,0.44233807921409607
17,0.9574753642082214,0.1282457709312439,0.845108687877655,0.47855842113494873
18,0.9574753642082214,0.12770363688468933,0.7975543737411499,0.8928720355033875
19,0.9601611495018005,0.1251528263092041,0.8722826242446899,0.5293581485748291
20,0.9543420076370239,0.14536496996879578,0.601902186870575,1.8306634426116943
21,0.970456600189209,0.10081460326910019,0.8464673757553101,0.4912329912185669
22,0.9740375876426697,0.0859132707118988,0.8586956262588501,0.4709092080593109
23,0.9709042310714722,0.09342096000909805,0.7635869383811951,0.8997134566307068
24,0.965532660484314,0.108560711145401,0.8070651888847351,0.643290102481842
25,0.977171003818512,0.07946156710386276,0.866847813129425,0.5289880037307739
26,0.9888092875480652,0.04424450919032097,0.90625,0.3519316613674164
27,0.9731423258781433,0.07981337606906891,0.8913043737411499,0.39020976424217224
28,0.9753804802894592,0.09157491475343704,0.8369565010070801,0.5341817736625671
29,0.9762757420539856,0.07580214738845825,0.8057065010070801,0.6042435169219971
